0.03933,3.28355
-0.22938,3.26863
-0.67608,3.09608
-0.79318,2.90400
-0.83901,2.46968
-0.82056,2.02500
-0.95421,1.77648
-0.80909,1.89025
-0.86168,-0.18579
-0.78265,-0.88498
-0.70103,-1.02493
-0.34352,-1.11776
-0.02180,-1.14149
0.31206,-1.13189
0.66486,-1.04178
0.76458,-0.87416
0.85599,-0.18958
0.86295,1.87128
0.98428,1.74336
0.84743,2.00793
0.91628,2.48086
0.84916,2.87326
0.75296,3.07385
0.30804,3.25946
-0.80418,2.47658
-0.65892,2.46831
-0.81861,-0.18768
-0.66846,-0.19182
0.85740,2.47534
0.71237,2.47461
0.81608,-0.19361
0.68510,-0.19598

